zoom_level,x_axis_spacing,y_axis_spacing,time_in_seconds,number_of_samples
1,1.0,102673,459.9362061023712,1179
2,0.5,51337,1203.1260077953339,2181
3,0.26,25668,3133.782403945923,1825
1,0.75,102673,511.5515511035919,1352
2,0.375,51337,1548.3463218212128,2774
3,0.195,25668,4113.719614982605,2301
1,0.5,154009.5,549.8426442146301,1435
2,0.25,77005.5,1505.1384687423706,2836
3,0.13,38502.0,3907.9733877182007,2309
1,0.75,154009.5,332.4436752796173,902
2,0.375,77005.5,994.5293362140656,1852
3,0.195,38502.0,2625.2075049877167,1536
1,0.75,205346,249.96934485435486,678
2,0.375,102674,746.368479013443,1389
3,0.195,51336,1969.8422226905823,1155
1,1.0,154009.5,295.21824288368225,786
2,0.5,77005.5,779.381450176239,1458
3,0.26,38502.0,2016.3655860424042,1217
1,0.5,102673,807.0585069656372,2151
2,0.25,51337,2288.4257929325104,4245
3,0.13,25668,5890.465837955475,3462
1,0.5,205346,399.6302320957184,1078
2,0.25,102674,1127.4922668933868,2127
3,0.13,51336,2928.574764728546,1737
1,1.0,205346,221.5967710018158,591
2,0.5,102674,583.2707016468048,1092
3,0.26,51336,1513.141815662384,915
1,1.25,256682.5,127.94803476333618,359
2,0.625,128342.5,361.52006006240845,672
3,0.325,64170.0,927.7017779350281,553
1,1.25,102673.0,319.2090570926666,895
2,0.625,51337.0,891.3064329624176,1672
3,0.325,25668.0,2320.7485570907593,1372
1,0.5,256682.5,318.1010661125183,862
2,0.25,128342.5,900.386519908905,1705
3,0.13,64170.0,2336.912601709366,1392
1,1.25,154009.5,212.55844402313232,597
2,0.625,77005.5,594.163106918335,1117
3,0.325,38502.0,1548.7921719551086,915
1,0.75,256682.5,199.09012293815613,542
2,0.375,128342.5,591.3779828548431,1113
3,0.195,64170.0,1578.53457903862,927
1,1.25,205346.0,158.35259222984314,448
2,0.625,102674.0,441.48728609085083,838
3,0.325,51336.0,1160.0882592201233,690
1,1.0,256682.5,175.85239124298096,472
2,0.5,128342.5,465.9707021713257,876
3,0.26,64170.0,1205.4795536994934,732
1,1.5,308019.0,73.09003520011902,195
2,0.75,154011.0,256.62892484664917,475
3,0.39,77004.0,671.4006190299988,390
1,1.5,102673.0,221.78778314590454,585
2,0.75,51337.0,771.5193948745728,1419
3,0.39,25668.0,2012.95530295372,1163
1,0.5,308019.0,262.0464470386505,718
2,0.25,154011.0,748.6388599872589,1422
3,0.13,77004.0,1946.2796261310577,1161
1,1.5,154009.5,146.46823382377625,390
2,0.75,77005.5,513.7460718154907,949
3,0.39,38502.0,1343.262043952942,776
1,0.75,308019.0,164.4188747406006,451
2,0.375,154011.0,494.6696879863739,929
3,0.195,77004.0,1312.1511361598969,772
1,1.5,205346.0,111.59664797782898,294
2,0.75,102674.0,383.7796154022217,710
3,0.39,51336.0,1004.7098200321198,584
1,1.0,308019.0,145.4956979751587,393
2,0.5,154011.0,388.38054299354553,730
3,0.26,77004.0,1007.0017242431641,613
1,1.5,256682.5,88.37192583084106,234
2,0.75,128342.5,307.22643208503723,570
3,0.39,64170.0,803.3891711235046,469
1,1.25,308019.0,105.88915419578552,299
2,0.625,154011.0,295.9242351055145,561
3,0.325,77004.0,773.4784016609192,459
1,0.5,51336.5,1691.8064138889313,4296
2,0.25,25668.5,4896.396721124649,8485
3,0.13,12834.0,12349.720069169998,6909
1,0.25,51336.5,3268.444967031479,8106
2,0.125,25668.5,10065.165346860886,16642
3,0.065,12834.0,24864.521226882935,13875
1,0.25,102673,1552.6033890247345,4058
2,0.125,51337,4690.997476816177,8328
3,0.065,25668,12290.223711013794,6952
