zoom_level,alternative,avg_time_in_seconds,number_of_samples,leader_threshold,subleader_threshold,avg_leader_time,leaders,subleaders,example
1,left,0.00019549179000000194,233,0.1,0.05,0.08987105603,14,57,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.0001749638600000125,233,0.1,0.05,0.08987105603,14,57,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.00018404551999999795,233,0.1,0.05,0.08987105603,14,57,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.00019721899999998625,233,0.1,0.05,0.08987105603,14,57,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.0001834220699999989,233,0.1,0.05,0.08987105603,14,57,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.00018798352999999324,233,0.1,0.05,0.08987105603,14,57,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.00019048932000000462,233,0.1,0.05,0.08987105603,14,57,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.00023761064999998637,233,0.1,0.05,0.08987105603,14,57,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0001850330100000086,233,0.1,0.05,0.08987105603,14,57,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.0002303527099999947,233,0.1,0.05,0.08987105603,14,57,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.0001876963420000024,233,0.1,0.05,0.08987105603,14,57,average
1,right,0.0002056259499999946,233,0.1,0.05,0.08987105603,14,57,average
1,left,8.11E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.0005629036300000223,233,0.20000000000000004,0.05,0.09409474396,4,60,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,7.66E+09,233,0.20000000000000004,0.05,0.09409474396,4,60,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.0004918192400000265,233,0.20000000000000004,0.05,0.09409474396,4,60,[5.0;  9.0];  [0.0;  757523835.5]
1,left,7.75E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,[2.0;  6.0];  [0.0;  757523835.5]
1,right,6.93E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,[2.0;  6.0];  [0.0;  757523835.5]
1,left,7.48E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.00047704891000002194,233,0.20000000000000004,0.05,0.09409474396,4,60,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,8.52E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.0004344679499999415,233,0.20000000000000004,0.05,0.09409474396,4,60,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,7.90E+10,233,0.20000000000000004,0.05,0.09409474396,4,60,average
1,right,0.0004071169919999988,233,0.20000000000000004,0.05,0.09409474396,4,60,average
1,left,9.91E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.00024628606999996803,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,8.69E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.000133167279999995,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[5.0;  9.0];  [0.0;  757523835.5]
1,left,9.53E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[2.0;  6.0];  [0.0;  757523835.5]
1,right,8.38E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[2.0;  6.0];  [0.0;  757523835.5]
1,left,8.91E+09,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.0001940374699999836,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,8.64E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.00014677927000001034,233,0.20000000000000004,0.1,0.027985659670000017,4,13,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,9.13E+10,233,0.20000000000000004,0.1,0.027985659670000017,4,13,average
1,right,0.00016080774399999595,233,0.20000000000000004,0.1,0.027985659670000017,4,13,average
1,left,7.54E+09,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.0001365989900000386,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,7.60E+10,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[5.0;  9.0];  [0.0;  757523835.5]
1,right,8.59E+10,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[5.0;  9.0];  [0.0;  757523835.5]
1,left,7.62E+10,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[2.0;  6.0];  [0.0;  757523835.5]
1,right,6.37E+09,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[2.0;  6.0];  [0.0;  757523835.5]
1,left,7.83E+10,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.00011745713000003377,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,7.82E+09,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.00011607955999998865,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,7.68E+10,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,average
1,right,0.00010396053000000904,233,0.20000000000000004,0.15000000000000002,0.018245307490000043,4,9,average
1,left,6.56E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.00046010171999995465,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.66E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.0004304401599999608,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.57E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.0004278860600000201,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.43E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.00038857102000008583,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.68E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.00036542222999997876,233,0.30000000000000004,0.05,0.09185697188000005,3,61,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.58E+10,233,0.30000000000000004,0.05,0.09185697188000005,3,61,average
1,right,0.00041448423800000004,233,0.30000000000000004,0.05,0.09185697188000005,3,61,average
1,left,6.42E+09,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.00016876432999993085,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.59E+10,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.00013135300000001847,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.58E+10,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.00013472418999995738,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.48E+10,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.00013675268000000075,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.68E+10,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.00011758860000000481,233,0.30000000000000004,0.1,0.027761162259999993,3,14,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.55E+10,233,0.30000000000000004,0.1,0.027761162259999993,3,14,average
1,right,0.00013783655999998243,233,0.30000000000000004,0.1,0.027761162259999993,3,14,average
1,left,6.54E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.00011272230000002991,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.43E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[5.0;  9.0];  [0.0;  757523835.5]
1,right,8.62E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.66E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.0001147768699999574,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.51E+09,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,9.40E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.79E+08,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,9.59E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.59E+10,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,average
1,right,0.00010072541400001,233,0.30000000000000004,0.15000000000000002,0.018083078909999984,3,8,average
1,left,6.77E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,5.25E+09,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.64E+09,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,right,6.39E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.52E+09,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.61E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.55E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.39E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.86E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.30E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.67E+10,233,0.30000000000000004,0.2,0.013452849319999984,3,4,average
1,right,5.59E+11,233,0.30000000000000004,0.2,0.013452849319999984,3,4,average
1,left,6.65E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,5.62E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.55E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,right,6.41E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.62E+09,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.57E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.70E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.25E+11,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.43E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.46E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.59E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,average
1,right,5.66E+10,233,0.30000000000000004,0.25,0.013375560849999886,3,4,average
1,left,6.54E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,8.40E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.46E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.0007039573500000529,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.45E+09,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[2.0;  6.0];  [0.0;  757523835.5]
1,right,6.44E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.48E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,8.49E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.42E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,8.19E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.47E+10,233,0.40000000000000013,0.05,0.09925205034000001,3,63,average
1,right,0.0002038430579999613,233,0.40000000000000013,0.05,0.09925205034000001,3,63,average
1,left,6.64E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,5.36E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,7.75E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.000219525760000181,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.93E+08,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.72E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.70E+09,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.62E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.75E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.60E+11,233,0.40000000000000013,0.1,0.027710693800000002,3,15,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.95E+10,233,0.40000000000000013,0.1,0.027710693800000002,3,15,average
1,right,8.85E+09,233,0.40000000000000013,0.1,0.027710693800000002,3,15,average
1,left,8.81E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,6.74E+09,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.63E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.00011885146999986774,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.62E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.33E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.49E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.43E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.47E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.26E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,7.00E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,average
1,right,6.93E+10,233,0.40000000000000013,0.15000000000000002,0.018085228200000074,3,9,average
1,left,7.77E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,5.39E+11,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.63E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[5.0;  9.0];  [0.0;  757523835.5]
1,right,7.60E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.50E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.25E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.53E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.29E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.43E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.58E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.77E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,average
1,right,5.82E+10,233,0.40000000000000013,0.2,0.012886104420000209,3,5,average
1,left,6.48E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,8.17E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.48E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,right,6.30E+09,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.58E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.42E+11,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.46E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.33E+08,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.52E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.96E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.50E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,average
1,right,6.24E+10,233,0.40000000000000013,0.25,0.011958738699999855,3,4,average
1,left,6.59E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,5.39E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,6.39E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,right,6.34E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[5.0;  9.0];  [0.0;  757523835.5]
1,left,6.61E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,right,5.31E+11,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[2.0;  6.0];  [0.0;  757523835.5]
1,left,6.57E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,5.23E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,6.49E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,5.40E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,6.53E+10,233,0.40000000000000013,0.3,0.011478947210000002,3,4,average
1,right,5.54E+11,233,0.40000000000000013,0.3,0.011478947210000002,3,4,average
1,left,7.53E+10,233,0.40000000000000013,0.35000000000000003,0.01086490318999978,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,6.76E+10,233,0.40000000000000013,0.35000000000000003,0.01086490318999978,3,4,[5.0;  9.0];  [757523835.5;  1515047671.0]
