zoom_level,alternative,avg_time_in_seconds,number_of_samples,leader_threshold,subleader_threshold,avg_leader_time,leaders,subleaders,example
1,left,8.344802999999956e-05,233,1.5,1.49,0.006467514329999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,6.199344000000106e-05,233,1.5,1.49,0.006467514329999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.489355000000028e-05,233,1.5,1.49,0.006467514329999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.80015800000011e-05,233,1.5,1.49,0.006467514329999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.7273290000000575e-05,233,1.5,1.49,0.006467514329999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,5.712197800000052e-05,233,1.5,1.49,0.006467514329999999,1,1,average
1,left,4.279801000000028e-05,1178,1.5,1.49,0.02672237658,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3455279999999874e-05,1178,1.5,1.49,0.02672237658,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.5033640000005094e-05,1178,1.5,1.49,0.02672237658,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,5.2398470000003525e-05,1178,1.5,1.49,0.02672237658,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2203650000001146e-05,1178,1.5,1.49,0.02672237658,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.517781000000198e-05,1178,1.5,1.49,0.02672237658,1,1,average
1,left,4.2328280000001326e-05,596,1.5,1.49,0.012841903339999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.241300999998643e-05,596,1.5,1.49,0.012841903339999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2959830000004476e-05,596,1.5,1.49,0.012841903339999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.210940999998414e-05,596,1.5,1.49,0.012841903339999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.30286299999949e-05,596,1.5,1.49,0.012841903339999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.256783199999425e-05,596,1.5,1.49,0.012841903339999999,1,1,average
1,left,4.310192000000157e-05,590,1.5,1.49,0.01258899679999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.742429000000215e-05,590,1.5,1.49,0.01258899679999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.298140999999589e-05,590,1.5,1.49,0.01258899679999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3583920000003215e-05,590,1.5,1.49,0.01258899679999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3435949999999226e-05,590,1.5,1.49,0.01258899679999999,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.410549800000041e-05,590,1.5,1.49,0.01258899679999999,1,1,average
1,left,4.230231000001083e-05,785,1.5,1.49,0.016912673499999985,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.691546000000102e-05,785,1.5,1.49,0.016912673499999985,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.261352000000329e-05,785,1.5,1.49,0.016912673499999985,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.384845000000581e-05,785,1.5,1.49,0.016912673499999985,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.224039000000346e-05,785,1.5,1.49,0.016912673499999985,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.358402600000488e-05,785,1.5,1.49,0.016912673499999985,1,1,average
1,left,4.365858000001666e-05,677,1.5,1.49,0.014980777320000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.309354999998405e-05,677,1.5,1.49,0.014980777320000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3752660000002666e-05,677,1.5,1.49,0.014980777320000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,5.021882999999505e-05,677,1.5,1.49,0.014980777320000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.14162700000098e-05,677,1.5,1.49,0.014980777320000005,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.442797800000164e-05,677,1.5,1.49,0.014980777320000005,1,1,average
1,left,4.308540000000249e-05,894,1.5,1.49,0.019786678370000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.332821999998515e-05,894,1.5,1.49,0.019786678370000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.3592750000023273e-05,894,1.5,1.49,0.019786678370000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.26303300000086e-05,894,1.5,1.49,0.019786678370000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.1499740000006113e-05,894,1.5,1.49,0.019786678370000015,1,1,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,4.2827288000005126e-05,894,1.5,1.49,0.019786678370000015,1,1,average
