zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,left,0.11436534021,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11417190859,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11459181899000004,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11463185965000001,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11444135661000004,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.11451077045999995,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.11468923580999998,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11435869909000004,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11471884872000004,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.11469650301000002,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.11456132006800002,596,2,average
1,right,0.11447394816,596,2,average
1,left,0.11655692400999997,596,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11566944875000004,596,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11651363310000022,596,3,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11630540912999976,596,3,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11612108030000001,596,3,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.11599777240999998,596,3,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.11627303406999999,596,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11610386831,596,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11671379731000002,596,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.11606877536000013,596,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.11643569375800004,596,3,average
1,right,0.11602905479199999,596,3,average
1,left,0.11868888424999995,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11842025630999985,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11875755333000029,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11858137661000001,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11853253285999983,596,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.1191883407499995,596,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12095322189,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12005799760000002,596,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12125590135000039,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12058108534999974,596,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1196376187360001,596,4,average
1,right,0.11936581132399984,596,4,average
1,left,0.1238893492599999,596,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.1223051435299999,596,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12295272565999994,596,5,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12348486927999999,596,5,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12340140146999999,596,5,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12320417641000006,596,5,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12371198581999977,596,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12296937263000018,596,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1230481213400003,596,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12302210145999994,596,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12340071670999997,596,5,average
1,right,0.122997132662,596,5,average
1,left,0.12568925260000013,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12554077099000038,596,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12568150670000022,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12522689542999957,596,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12539713886000073,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12531946831000026,596,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12600781386999985,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12584847714000033,596,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12579047522999987,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12588278102000003,596,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12571323745200016,596,6,average
1,right,0.12556367857800013,596,6,average
1,left,0.12898096741000017,596,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12816261453000038,596,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12896569298999908,596,7,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12836026674000095,596,7,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12920243615999993,596,7,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12896740725000086,596,7,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12843329886999982,596,7,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12823605844999975,596,7,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12884327886999927,596,7,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12793257926000023,596,7,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12888513485999964,596,7,average
1,right,0.12833178524600045,596,7,average
1,left,0.13098002683999993,596,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.13085943714999984,596,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.1308798823699999,596,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1304168172300001,596,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.13199529322999978,596,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.13118510213000037,596,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.13100960557000008,596,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.13036253827999986,596,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.13029241143000037,596,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.13050399158999995,596,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.131031443888,596,8,average
1,right,0.130665577276,596,8,average
1,left,0.11820797494999966,541,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11754713781000077,541,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11803761373000043,541,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11746573196999975,541,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11780617073999906,541,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.11715845223000088,541,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.11781161037000061,541,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11761121680999963,541,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11780050136,541,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.1171426170999996,541,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.11793277422999995,541,2,average
1,right,0.11738503118400012,541,2,average
1,left,0.1197485774100005,541,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11905998687000079,541,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11975883493999959,541,3,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11873585198999877,541,3,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11946800515999939,541,3,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.11892421796000008,541,3,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12015489973000058,541,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11920177025999919,541,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11975955327000065,541,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.11867046397999957,541,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.11977797410200015,541,3,average
1,right,0.11891845821199967,541,3,average
1,left,0.12158933825999839,541,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12078844936999986,541,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12158763562999866,541,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11940872630000059,541,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11924160536000045,541,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.11850167550000151,541,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1192577140200001,541,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.11903019246999974,541,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.11976267639000071,541,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.11908762391999972,541,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12028779393199966,541,4,average
1,right,0.11936333351200028,541,4,average
1,left,0.1221125856499998,541,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12119668882000041,541,5,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12156529487000171,541,5,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12133129332999942,541,5,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12147796545999881,541,5,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12089702575000047,541,5,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12181620382999882,541,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12145995555000128,541,5,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12146781718999819,541,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12094404156999872,541,5,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12168797339999946,541,5,average
1,right,0.12116580100400007,541,5,average
1,left,0.12441105751999885,541,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12403667964000079,541,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.1246992873299996,541,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.12382825312000023,541,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12458812049000016,541,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.12408763915000008,541,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12480475690000048,541,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12418451440000126,541,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.12644335359000025,541,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12552114154000038,541,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12498931516599987,541,6,average
1,right,0.12433164557000054,541,6,average
1,left,0.12936581556999954,541,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.12846232999999985,541,7,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.12898564814999872,541,7,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1293770541499998,541,7,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.12964071600000124,541,7,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.13021617980999964,541,7,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.12984446900999955,541,7,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.12914683319000006,541,7,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1294856411700016,541,7,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.12881842447000053,541,7,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.12946445798000014,541,7,average
1,right,0.12920416432399998,541,7,average
1,left,0.13246312204999866,541,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.13235058680000067,541,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.13175349228000185,541,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1321424849800019,541,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.1327906467899993,541,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.13302124499,541,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.13238597270999888,541,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.1330491023200011,541,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.13194593283999892,541,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.13184292100999984,541,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.13226783333399952,541,8,average
1,right,0.1324812680200007,541,8,average
1,left,0.1181386463800004,1351,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.11830175413000006,1351,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11863716998999962,1351,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.11807174384000063,1351,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.11818345520999855,1351,2,[2.0; 6.0]; [0.0; 757523835.5]
