zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.00316231849,233,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.007910662650000002,233,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.0029367221600000003,233,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.007754059749999999,233,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.004476296849999999,233,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.005016043520000002,233,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0018448789000000065,233,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.007908693190000005,233,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0028236313800000003,233,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.00785034199,233,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.003048769556000001,233,average
1,right,0.007287960220000002,233,average
1,left,0.01459222563,1178,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.03049986046999999,1178,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.014259387679999999,1178,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.03020038144999999,1178,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.021825626589999984,1178,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.03003987000000002,1178,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.015654744799999988,1178,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.03264719437,1178,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.014289490110000002,1178,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.03683886887,1178,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.016124294961999994,1178,average
1,right,0.032045235032,1178,average
1,left,0.009401653010000004,596,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.01897042391999996,596,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.00927408118999999,596,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.01859454006,596,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.012709213720000036,596,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.015537636429999963,596,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.008911748839999945,596,[3.0;  7.0];  [300000000;  1057523835.5]
