zoom_level,alternative,avg_time_in_seconds,number_of_samples,example
1,left,0.003112004879999999,233,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.008273314549999999,233,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.00393654481,233,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.008165790130000001,233,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.004461364979999996,233,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.005163102830000001,233,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.0019220914499999964,233,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.008113397330000004,233,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.0028417418999999986,233,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.008156565750000002,233,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.0032547496039999984,233,average
1,right,0.007574434118000002,233,average
1,left,0.01506125730999999,1178,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.030743251979999987,1178,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.014187375010000008,1178,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.030334428709999983,1178,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.021680299660000023,1178,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.029842881410000004,1178,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.015512905309999993,1178,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.032760652599999995,1178,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.01411881350999998,1178,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.03664896890999998,1178,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.016112130159999998,1178,average
1,right,0.032066036721999994,1178,average
1,left,0.009483556110000037,596,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,right,0.018865230700000027,596,[5.0;  9.0];  [757523835.5;  1515047671.0]
1,left,0.011529351530000015,596,[5.0;  9.0];  [0.0;  757523835.5]
1,right,0.02267352724999995,596,[5.0;  9.0];  [0.0;  757523835.5]
1,left,0.013162305250000016,596,[2.0;  6.0];  [0.0;  757523835.5]
1,right,0.015423692419999994,596,[2.0;  6.0];  [0.0;  757523835.5]
1,left,0.009017919389999988,596,[3.0;  7.0];  [300000000;  1057523835.5]
1,right,0.018835090000000037,596,[3.0;  7.0];  [300000000;  1057523835.5]
1,left,0.005630540029999977,596,[4.5;  8.5];  [300000000;  1057523835.5]
1,right,0.01919883069000001,596,[4.5;  8.5];  [300000000;  1057523835.5]
1,left,0.009764734462000008,596,average
1,right,0.018999274212000004,596,average
1,left,0.007330194309999954,590,[5.0;  9.0];  [757523835.5;  1515047671.0]
