zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,left,0.10617724960000001,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10605365179,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10606658646999996,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10593455050999999,596,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10611679258000002,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10571318420000005,596,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10647265165000007,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10623760746999991,596,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10595920520000007,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10588587779999997,596,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10615849710000003,596,2,average
1,right,0.10596497435399996,596,2,average
1,left,0.10641338258999994,596,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10648831195999989,596,3,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10669087385000012,596,3,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10673423229000008,596,3,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10691186789,596,3,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10693860112999999,596,3,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1069506238599999,596,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10722176315000014,596,3,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1064794544,596,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10621444454999988,596,3,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.106689240518,596,3,average
1,right,0.106719470616,596,3,average
1,left,0.10662586938000004,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10631683592000002,596,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10678670820000008,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10671067147000002,596,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10656483379000008,596,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10629538120000007,596,4,[2.0; 6.0]; [0.0; 757523835.5]
