zoom_level,alternative,avg_time_in_seconds,number_of_samples,number_of_processors,example
1,left,0.10616155814,233,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10612232892,233,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10547908851000003,233,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10588562439,233,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10577574794999997,233,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10640072409999995,233,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10581016229,233,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10595922044999995,233,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10575809280000001,233,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10598690405,233,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10579692993800001,233,2,average
1,right,0.10607096038199999,233,2,average
1,left,0.10713590986999989,233,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10635404914999995,233,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10697928411000021,233,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10661039875999989,233,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10700316176,233,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10649290105999995,233,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10695006608,233,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10694811794999992,233,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10639463849999999,233,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10652990549999998,233,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10689261206400003,233,4,average
1,right,0.10658707448399993,233,4,average
1,left,0.10733211820999998,233,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10694051376999994,233,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.1071467160900002,233,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10691549701999975,233,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10741207663000012,233,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10670441498000002,233,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10731671403999997,233,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10709638627000004,233,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1071840540300002,233,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10722513928999945,233,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.1072783358000001,233,6,average
1,right,0.10697639026599984,233,6,average
1,left,0.1075968530199998,233,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10759650317999955,233,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.1078597213300003,233,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10782065933000012,233,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.1095097533400002,233,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10919191882999996,233,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10920054249000032,233,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10900727709000023,233,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10938050617000045,233,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10872587579000026,233,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10870947527000022,233,8,average
1,right,0.10846844684400003,233,8,average
1,left,0.10821099726999989,1178,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10857538589,1178,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10888750784999957,1178,2,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1082552838600003,1178,2,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10852180843000042,1178,2,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10809086352999998,1178,2,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10809244930999967,1178,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10867820983000001,1178,2,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10817525929999988,1178,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10796519318000036,1178,2,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10837760443199988,1178,2,average
1,right,0.10831298725800012,1178,2,average
1,left,0.10898819461000016,1178,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10886920691999989,1178,4,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10880041868000034,1178,4,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10891301975000033,1178,4,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10841966641999988,1178,4,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10922803864999991,1178,4,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.1088393229999997,1178,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10918689942000015,1178,4,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10839775245000055,1178,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10824070371000062,1178,4,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10868907103200014,1178,4,average
1,right,0.10888757369000017,1178,4,average
1,left,0.10930148081000084,1178,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10893204821000041,1178,6,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.10915675428999976,1178,6,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.10919227568999985,1178,6,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.1092620466699998,1178,6,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.1085911832499994,1178,6,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10916375290999895,1178,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.1091751221300001,1178,6,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.1086433401399995,1178,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10835738070999923,1178,6,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10910547496399978,1178,6,average
1,right,0.10884960199799978,1178,6,average
1,left,0.1095334066800001,1178,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,right,0.10931385290999969,1178,8,[5.0; 9.0]; [757523835.5; 1515047671.0]
1,left,0.11013271055000018,1178,8,[5.0; 9.0]; [0.0; 757523835.5]
1,right,0.1094244942399996,1178,8,[5.0; 9.0]; [0.0; 757523835.5]
1,left,0.10940258916000062,1178,8,[2.0; 6.0]; [0.0; 757523835.5]
1,right,0.10915005530999906,1178,8,[2.0; 6.0]; [0.0; 757523835.5]
1,left,0.10999486069,1178,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,right,0.10906642804999933,1178,8,[3.0; 7.0]; [300000000; 1057523835.5]
1,left,0.10970879418999971,1178,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,right,0.10947498354999993,1178,8,[4.5; 8.5]; [300000000; 1057523835.5]
1,left,0.10975447225400012,1178,8,average
1,right,0.10928596281199951,1178,8,average
1,left,0.1085377573300002,596,2,[5.0; 9.0]; [757523835.5; 1515047671.0]
