zoom_level,x_axis_spacing,y_axis_spacing,time_in_seconds,number_of_samples
1,0.5,205346,470.20051193237305,1078
2,0.25,102674,1072.4451780319214,2127
3,0.13,51336,2800.050660133362,1737
1,1.0,205346,258.2438690662384,591
2,0.5,102674,548.8012490272522,1092
3,0.26,51336,1509.0634348392487,915
1,1.0,102673,508.70128774642944,1179
2,0.5,51337,1103.6034491062164,2181
3,0.26,25668,2863.3376042842865,1825
1,0.75,102673,587.3708262443542,1352
2,0.375,51337,1436.230093717575,2774
3,0.195,25668,3867.3712968826294,2301
1,0.5,154009.5,630.9109590053558,1435
2,0.25,77005.5,1567.097461938858,2836
3,0.13,38502.0,3848.1033499240875,2309
1,0.75,154009.5,392.1916811466217,902
2,0.375,77005.5,958.2124490737915,1852
3,0.195,38502.0,2601.101938009262,1536
1,0.75,205346,293.46732997894287,678
2,0.375,102674,714.5598201751709,1389
3,0.195,51336,1968.7049582004547,1155
1,1.0,154009.5,351.4208357334137,786
2,0.5,77005.5,783.5929918289185,1458
3,0.26,38502.0,1980.3953578472137,1217
1,0.5,102673,926.1606149673462,2151
2,0.25,51337,2131.3444039821625,4245
3,0.13,25668,5539.155945062637,3462
1,1.25,256682.5,162.8883559703827,359
2,0.625,128342.5,329.1281409263611,672
3,0.325,64170.0,872.2216420173645,553
1,1.25,102673.0,390.54942512512207,895
2,0.625,51337.0,820.8273589611053,1672
3,0.325,25668.0,2204.586478948593,1372
1,0.5,256682.5,369.3747048377991,862
2,0.25,128342.5,840.3282990455627,1705
3,0.13,64170.0,2213.5259659290314,1392
1,1.25,154009.5,263.2800178527832,597
2,0.625,77005.5,551.459664106369,1117
3,0.325,38502.0,1472.392492055893,915
1,0.75,256682.5,227.12618899345398,542
2,0.375,128342.5,549.7142980098724,1113
3,0.195,64170.0,1490.7703330516815,927
1,1.25,205346.0,198.16166615486145,448
2,0.625,102674.0,410.7942490577698,838
3,0.325,51336.0,1100.9110341072083,690
1,1.0,256682.5,197.05310702323914,472
2,0.5,128342.5,435.1765160560608,876
3,0.26,64170.0,1130.925920009613,732
1,1.5,308019.0,81.70523309707642,195
2,0.75,154011.0,238.1758930683136,475
3,0.39,77004.0,631.8466279506683,390
1,1.5,102673.0,245.14983582496643,585
2,0.75,51337.0,714.1115019321442,1419
3,0.39,25668.0,1901.8684530258179,1163
1,0.5,308019.0,304.9681327342987,718
2,0.25,154011.0,696.4975490570068,1422
3,0.13,77004.0,1841.0812020301819,1161
1,1.5,154009.5,159.41492199897766,390
2,0.75,77005.5,478.24654483795166,949
3,0.39,38502.0,1265.3953592777252,776
1,0.75,308019.0,185.80922293663025,451
2,0.375,154011.0,457.8193712234497,929
3,0.195,77004.0,1238.575052022934,772
1,1.5,205346.0,122.91471815109253,294
2,0.75,102674.0,357.7350709438324,710
3,0.39,51336.0,948.3141310214996,584
1,1.0,308019.0,165.8747899532318,393
2,0.5,154011.0,360.16681599617004,730
3,0.26,77004.0,938.8544409275055,613
1,1.5,256682.5,100.07063603401184,234
2,0.75,128342.5,288.87266206741333,570
3,0.39,64170.0,796.1363499164581,469
1,1.25,308019.0,131.64950680732727,299
2,0.625,154011.0,276.5167763233185,561
3,0.325,77004.0,734.5666091442108,459
1,0.5,51336.5,1932.7918150424957,4296
2,0.25,25668.5,4586.0648992061615,8485
3,0.13,12834.0,11627.362850189209,6909
1,0.25,51336.5,3735.5527999401093,8106
2,0.125,25668.5,9356.286607265472,16642
3,0.065,12834.0,23715.615792036057,13875
1,0.25,102673,1788.8321471214294,4058
2,0.125,51337,4373.389511823654,8328
3,0.065,25668,11613.833460092545,6952
