year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
1980,Drama,105,Hungary,7.6,522,1,7
2010,Horror,79,UK,2.3,433,17,20
2004,"Action, Comedy, Horror",94,Hong Kong,4.2,322,25,7
2004,"Comedy, Mystery",100,Japan,5.7,128,55,4
2013,Drama,148,"Spain, France, Romania",6.5,616,77,35
2012,"Romance, Sci-Fi, Thriller",124,"Lithuania, France, Belgium",6,2438,91,49
2011,"Action, Adventure, Sci-Fi",85,"Singapore, USA",2.9,1158,118,15
2010,"Drama, Thriller",104,"UK, USA",6.4,5342,177,105
2004,Drama,115,South Africa,6.7,145,177,1
2005,"Fantasy, Horror",134,Japan,6.3,996,217,11
1985,Drama,113,West Germany,6.8,123,242,2
2015,Horror,95,Canada,4,468,276,18
2008,Drama,85,USA,5.1,244,355,4
1999,Drama,85,"Portugal, Ireland, Spain, Brazil",6.3,105,359,3
2012,Drama,95,Canada,7.4,562,404,17
2013,Horror,105,Brazil,5.5,221,435,15
2006,Drama,95,France,6.5,267,481,11
2017,Drama,71,"Chile, Argentina, Spain",6,104,499,4
1968,"Comedy, Drama, Romance",91,France,7.7,10600,509,53
2016,"Drama, Fantasy, Sci-Fi",91,"Switzerland, France",6.4,1661,523,45
2018,"Action, Sci-Fi, Thriller",93,USA,5.4,2368,528,8
2007,"Drama, History, War",112,Canada,7.6,3084,594,21
2016,"Drama, Thriller, Western",115,Colombia,6.5,183,622,8
2014,Drama,89,Turkey,4.4,174,640,6
2011,"Comedy, Drama",93,"Luxembourg, Belgium, Austria",4.9,120,669,4
2015,Romance,71,Costa Rica,6.3,170,712,14
2018,"Horror, Mystery, Thriller",90,"Mexico, Argentina, New Zealand",5.7,125,737,6
1993,Drama,90,Slovakia,6.9,157,779,2
2011,"Horror, Thriller",76,"Spain, Mexico, Colombia",4.3,736,786,28
1963,"Drama, Sport",134,UK,7.7,5437,813,51
1999,Comedy,88,USA,2.2,2399,856,8
